id;ip;mac_address;device_id;user_type
1;connecting index Metal;transparent;International SMS;VISITOR
2;ivory primary;Islands front-end;Graphic feed Bedfordshire;CUSTOMER
3;Rustic Salad eyeballs;synthesizing;bypass;CUSTOMER
4;Rupee neural reboot;International;alarm green;VISITOR
5;Personal Ergonomic;Small Handcrafted;Soap Agent Steel;GRADUATED
6;blockchains fuchsia communities;e-enable USB;emulation orange deposit;CUSTOMER
7;solutions payment;Fords Computers contextually-based;TCP;GRADUATED
8;Creative Prairie;alarm quantify;blue SAS;CUSTOMER
9;neural-net Open-architected;Berkshire;modular ROI Savings;STUDENT
10;content-based Chief;Gorgeous override;Union;GRADUATED
